10K	ten k
InfiniBand	inifiband
IoT	i o t
Isaac SIM	isaac sim
JSON	j son
JavaScript	java script
JavaScript	javascript
KVM	k v m
LFP	lee fei po
LFP	life po
LGA	l g a	-1.1
LLC	l l c
LLM	l l m
LLMs	l l ms
LLP	l l p
LSTM	l s t m
LT	l t
LTT	l t t
LinkedIn	linked in
LinkedIn	linkedin
MB	m b
MCB	m c b
MCCB	m c c b
MCP	m c p
MDM	m d m
MFA	m f a
MIT	m i t
ML	m l
MLPerf	m l perf
MONAI	monai
MWC	m w c
MXNet	m x net
MacBook	mac book
MacBook	macbook
MacBook Pro	mac book pro
Max-Q	max q
Million-X	million x
MoCap	mo cap
NC	n c
NGC	n g c
NLP	n l p
NLU	n l u
NMC	n m c
NO	n o
NTFS	n t f s
NTP	n t p
NVDec	n v dec
NVDec	n v deck
NVEnc	n v enc
NVEnc	n v inc
NVEnc	n v ink
NVMe	n v m e
Ni-CD	knee cad
NiMH	n i m h
NoSQL	no s q l
NoSQL	no sql
Nvidia A100	Nvidia a hundred
Nvidia A100	Nvidia a one hundred
Nvidia A100	nvidia a hundred
Nvidia A100	nvidia a one hundred
Nvidia A30	Nvidia a thirty
Nvidia A30	nvidia a thirty
Nvidia A40	Nvidia a forty
Nvidia A40	nvidia a forty
OCI	o c i
OEM	o e m
OEMs	o e ms
OLTC	o l t c
OLTP	o l t p
ONNX	o n n x
OVX	o v x
OpEx	op ex
OpEx	opex
OpenCL	open c l
OpenGL	open g l
PCI	p c i
PCIe	p c i e	-1.1
PDF	p d f
PHEV	p h e v
POP3	pop three
PSO	p s o
Photoshop	photo shop
PhysX	fizz ex
PhysX	fizz x
PhysX	phys ex
PhysX	phys x
PlayStation	play station
Premiere Pro	premiere pro
ProVis	pro vis
ProVis	provis
PyG	pi g
PyG	py g
PyTorch	pi torch
QODA	q o d a
QOS	q o s
RCBO	r c b o
RCCB	r c c b
RDS	r d s
RFP	r f p
RISC	risc
RL	r l
RNN	r n n
ROI	r o i
RSS	r s s
RT	r t
RTP	r t p
RTX	r t x	-1.1
RTX ON	r t x on
RTX Off	r t x off
RacerX	racer x
Ryzen 2	rye zen two
Ryzen 3	rye zen three
Ryzen 5	rye zen five
Ryzen 7	rye zen seven
Ryzen 9	rye zen nine
S&P	s and p
S3	s three
SAE	s a e
SDK	s d k
SEO	s e o
SFU	s f u
SHIELD TV	shield tv
SIGGRAPH	sig graph
SIGGRAPH	siggraph
SMPS	s m p s
SMTP	s m t p
SNMP	s n m p
SNS	s n s
SOL	s o l
SPDT	s p d t
SPN	s p n
SPST	s p s t
SQL	s q l
SQS	s q s
SSD	s s d
SSH	s s h
SSL	s s l
SSO	s s o
SSR	s s r
SUV	s u v
SWG	s w g
SaaS	saas
ServiceNow	service now
SuperCloud	super cloud
SuperPOD	super pod
TCP	t c p
TCP/IP	t c p i p
TFTP	t f t p
TJ	t j
TOS 	t o s
TPM	t p m
TPMS	t p m s
TPN	t p n
TSL	t s l
TSMC	t s m c
TTS 	t t s
Telnet	tell net
TensorRT	tensor r t
The A100	The a hundred
The A100	The a one hundred
The A100	the a hundred
The A100	the a one hundred
The A30	The a thirty
The A30	the a thirty
The A40	The a forty
The A40	the a forty
Tick-Tock	tick tock
TikTok app	tick tock app
TikTok is	tick tock is
UDP	u d p
UEFI	u e f i
UFI	u f i
UFS	u f s
UPS	u p s
USB	u s b
VAAPI	v a a p i
VAAPI	v a api
VDI	v d i
VDPAU	v d p a u
VDPAU	v d paw
VDPAU	v d pow
VFD	v f d
VLAN	v lan
VMFS	v m f s
VP	v p
VPN	v p n
Vcc	v c c
Vdd	v d d
VoIP	v o i p
WFSA	w f s a
WFST	w f s t
Wi-Fi	wi fi
Wi-Fi	wifi
XFX	x f x
XFX	x fx
XML	x m l
ZFS	z f s
Zen 2	zen two
Zen 3	zen three
Zen 4	zen four
b-tree	b t ree
btrfs	b t r f s
btrfs	b tree f s
btrfs	butter f s
c#	c sharp
c++	c plus plus
cuBLAS	cue blah
cuBLAS	cue blahs
cuBLAS	q blahs
cuDNN	c u d n n
cuDNN	cue d n n
cuDNN	q d n n
cuOpt	cue opt
cuOpt	q opt
cuQuantum	cue quantum
cuQuantum	q quantum
dr.	doctor
e.g.	for example
es3	e s three
exFAT	ex fat
ext3	e x t three
ext4	e x t four
i3	i three
i5	i five
i7	i seven
i9	i nine
iOS	ios
iTPMS	i t p m s
mr.	mister
mrs.	misses
on TikTok	on tick tock
sFTP	s f t p
st.	saint
x1	x one
x16	x sixteen
x2	x two
x4	x four
x8	x eight
xfs	x f s
